Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
12,P4390,U88875,Pedro Torres,7,9,3,1618193635,"Regular, nada especial",No cumplió con la descripción. El empaque estaba dañado. Llegó antes de lo previsto. Sin dudas volvería a comprarlo. Superó todas mis expectativas
13,P4049,U32497,Jorge Hernández,10,11,4,1723774435,Me gustó bastante,Llegó antes de lo previsto. Superó todas mis expectativas. No lo recomendaría. No cumplió con la descripción. Sin dudas volvería a comprarlo
14,P5901,U10479,Pedro Hernández,7,10,3,1454292835,"Cumple, pero sin destacar",Podría ser mejor. El empaque estaba dañado. Llegó antes de lo previsto. Sin dudas volvería a comprarlo. Superó todas mis expectativas
15,P3384,U87033,Sofía López,10,10,1,1646360035,El producto llegó roto,No cumplió con la descripción. El empaque estaba dañado. No lo recomendaría. La calidad fue impresionante. Superó todas mis expectativas
16,P1306,U43466,María García,1,2,2,1673144035,Podría mejorar,La calidad fue impresionante. El servicio al cliente fue atento. Llegó antes de lo previsto. No lo recomendaría. Superó todas mis expectativas
17,P3433,U13590,María Hernández,6,7,4,1498961635,Me gustó bastante,La calidad fue impresionante. Superó todas mis expectativas. Funciona perfectamente. Sin dudas volvería a comprarlo. Llegó antes de lo previsto
18,P5284,U31188,Sofía Pérez,5,7,2,1562638435,Podría mejorar,No lo recomendaría. Podría ser mejor. Llegó antes de lo previsto. Funciona perfectamente. El servicio al cliente fue atento
19,P9871,U74457,Pedro Ramírez,7,12,3,1617761635,"Regular, nada especial",Podría ser mejor. Sin dudas volvería a comprarlo. No lo recomendaría. No cumplió con la descripción. El empaque estaba dañado
20,P5214,U76242,Ana Rodríguez,0,3,5,1529115235,Excelente compra,El empaque estaba dañado. Funciona perfectamente. Llegó antes de lo previsto. Superó todas mis expectativas. No cumplió con la descripción
21,P8270,U62489,Sofía Martínez,0,3,4,1633140835,Buena relación calidad-precio,El empaque estaba dañado. Llegó antes de lo previsto. Funciona perfectamente. La calidad fue impresionante. Sin dudas volvería a comprarlo
22,P5520,U53397,María López,2,2,5,1464142435,"Maravilloso, lo volvería a comprar",Podría ser mejor. La calidad fue impresionante. No cumplió con la descripción. No lo recomendaría. Funciona perfectamente
23,P4370,U72158,Sofía Hernández,2,4,1,1700014435,Terrible servicio,La calidad fue impresionante. El empaque estaba dañado. El servicio al cliente fue atento. Llegó antes de lo previsto. Sin dudas volvería a comprarlo
24,P5889,U18732,Isabel Martínez,2,2,3,1615428835,Está bien para su precio,Sin dudas volvería a comprarlo. Llegó antes de lo previsto. No cumplió con la descripción. El servicio al cliente fue atento. Podría ser mejor
25,P5279,U97361,Juan Martínez,2,4,5,1593224035,Superó mis expectativas,Funciona perfectamente. Llegó antes de lo previsto. Podría ser mejor. No cumplió con la descripción. El servicio al cliente fue atento
26,P9810,U84024,Pedro Rodríguez,1,4,5,1721182435,Excelente compra,Superó todas mis expectativas. Funciona perfectamente. El servicio al cliente fue atento. La calidad fue impresionante. No cumplió con la descripción
27,P7995,U95921,Juan Ramírez,5,10,1,1556072035,No lo recomiendo en absoluto,No lo recomendaría. Funciona perfectamente. No cumplió con la descripción. La calidad fue impresionante. Podría ser mejor
28,P3465,U48760,María García,7,11,3,1691288035,"Cumple, pero sin destacar",El empaque estaba dañado. La calidad fue impresionante. Llegó antes de lo previsto. No lo recomendaría. No cumplió con la descripción
29,P2005,U17202,Carlos Rodríguez,7,7,5,1457835235,"Maravilloso, lo volvería a comprar",Funciona perfectamente. La calidad fue impresionante. El empaque estaba dañado. Llegó antes de lo previsto. No lo recomendaría
30,P9108,U16927,Isabel Torres,6,8,3,1542161635,"Cumple, pero sin destacar",Superó todas mis expectativas. No cumplió con la descripción. La calidad fue impresionante. Sin dudas volvería a comprarlo. Podría ser mejor
31,P8711,U88026,Jorge Hernández,4,7,4,1449972835,Buena relación calidad-precio,No cumplió con la descripción. Funciona perfectamente. El empaque estaba dañado. Sin dudas volvería a comprarlo. Podría ser mejor
32,P6600,U70274,Lucía Hernández,7,12,5,1691288035,"Maravilloso, lo volvería a comprar",Sin dudas volvería a comprarlo. Podría ser mejor. Funciona perfectamente. La calidad fue impresionante. El empaque estaba dañado
33,P6205,U62350,Jorge Pérez,9,10,3,1447640035,"Cumple, pero sin destacar",La calidad fue impresionante. No lo recomendaría. El servicio al cliente fue atento. Sin dudas volvería a comprarlo. Funciona perfectamente
34,P2014,U36881,Luis Hernández,3,3,3,1627697635,"Cumple, pero sin destacar",Superó todas mis expectativas. Llegó antes de lo previsto. El servicio al cliente fue atento. El empaque estaba dañado. Sin dudas volvería a comprarlo
35,P1882,U92644,Jorge Torres,1,4,5,1581992035,Excelente compra,Llegó antes de lo previsto. La calidad fue impresionante. Sin dudas volvería a comprarlo. No cumplió con la descripción. El empaque estaba dañado
36,P9947,U64847,Juan Hernández,0,2,3,1727057635,Está bien para su precio,Podría ser mejor. Funciona perfectamente. No cumplió con la descripción. Sin dudas volvería a comprarlo. La calidad fue impresionante
37,P2210,U76347,Lucía Hernández,2,6,1,1597198435,El producto llegó roto,Funciona perfectamente. La calidad fue impresionante. Superó todas mis expectativas. Sin dudas volvería a comprarlo. Llegó antes de lo previsto
38,P7480,U89179,María Martínez,8,11,2,1634868835,No fue lo que esperaba,El empaque estaba dañado. Llegó antes de lo previsto. No cumplió con la descripción. Podría ser mejor. Sin dudas volvería a comprarlo
39,P1660,U43740,Sofía Torres,1,3,1,1470536035,Muy mala experiencia,Sin dudas volvería a comprarlo. El empaque estaba dañado. El servicio al cliente fue atento. Funciona perfectamente. No lo recomendaría
40,P6472,U96018,Carlos Torres,8,9,4,1476843235,Muy buen producto,Podría ser mejor. Llegó antes de lo previsto. El servicio al cliente fue atento. No cumplió con la descripción. El empaque estaba dañado
41,P4383,U25032,Jorge López,10,14,2,1734920035,No fue lo que esperaba,Sin dudas volvería a comprarlo. Funciona perfectamente. La calidad fue impresionante. Llegó antes de lo previsto. El servicio al cliente fue atento
42,P4123,U99362,Ana Hernández,4,4,2,1604628835,Podría mejorar,Funciona perfectamente. Podría ser mejor. No cumplió con la descripción. El empaque estaba dañado. Sin dudas volvería a comprarlo
43,P3178,U75043,Pedro Ramírez,6,11,4,1577412835,Buena relación calidad-precio,Superó todas mis expectativas. Sin dudas volvería a comprarlo. Podría ser mejor. No lo recomendaría. El empaque estaba dañado
44,P9988,U35612,Luis García,7,12,5,1591582435,Superó mis expectativas,No cumplió con la descripción. Funciona perfectamente. Podría ser mejor. Sin dudas volvería a comprarlo. La calidad fue impresionante
45,P6607,U14376,Pedro García,6,6,5,1456539235,Excelente compra,No lo recomendaría. Sin dudas volvería a comprarlo. El empaque estaba dañado. No cumplió con la descripción. Podría ser mejor
46,P7609,U19976,Carlos López,8,13,4,1562811235,Buena relación calidad-precio,No cumplió con la descripción. El empaque estaba dañado. No lo recomendaría. Podría ser mejor. Sin dudas volvería a comprarlo
47,P1376,U50855,Sofía Ramírez,5,10,4,1590113635,Buena relación calidad-precio,Llegó antes de lo previsto. Funciona perfectamente. No cumplió con la descripción. Superó todas mis expectativas. La calidad fue impresionante
48,P2896,U78950,María Pérez,10,13,4,1455070435,Muy buen producto,El servicio al cliente fue atento. Sin dudas volvería a comprarlo. Podría ser mejor. Funciona perfectamente. Llegó antes de lo previsto
49,P3641,U21996,Isabel González,2,2,2,1613614435,Podría mejorar,Superó todas mis expectativas. Funciona perfectamente. El servicio al cliente fue atento. El empaque estaba dañado. La calidad fue impresionante
50,P8835,U43892,Pedro González,7,8,1,1473646435,Muy mala experiencia,Superó todas mis expectativas. No cumplió con la descripción. Sin dudas volvería a comprarlo. No lo recomendaría. El servicio al cliente fue atento
51,P4846,U22716,Isabel Ramírez,5,9,2,1622945635,No fue lo que esperaba,No lo recomendaría. Funciona perfectamente. El empaque estaba dañado. Sin dudas volvería a comprarlo. El servicio al cliente fue atento
52,P9456,U67281,Ana Ramírez,4,7,4,1446430435,Buena relación calidad-precio,No cumplió con la descripción. El servicio al cliente fue atento. Funciona perfectamente. Sin dudas volvería a comprarlo. La calidad fue impresionante
53,P6275,U84561,Carlos González,5,9,3,1563416035,"Cumple, pero sin destacar",El servicio al cliente fue atento. La calidad fue impresionante. No lo recomendaría. Podría ser mejor. Sin dudas volvería a comprarlo
54,P9731,U40546,Isabel Torres,2,7,4,1716084835,Buena relación calidad-precio,No cumplió con la descripción. No lo recomendaría. El empaque estaba dañado. Superó todas mis expectativas. El servicio al cliente fue atento
55,P2783,U71691,Sofía Sánchez,5,9,2,1694312035,Servicio lento y atención deficiente,Podría ser mejor. Llegó antes de lo previsto. La calidad fue impresionante. Sin dudas volvería a comprarlo. El servicio al cliente fue atento
56,P8551,U71375,Carlos Rodríguez,6,7,4,1663121635,Muy buen producto,Llegó antes de lo previsto. La calidad fue impresionante. El servicio al cliente fue atento. No cumplió con la descripción. Superó todas mis expectativas
57,P1079,U17509,Jorge Sánchez,0,4,1,1474510435,No lo recomiendo en absoluto,Superó todas mis expectativas. La calidad fue impresionante. Sin dudas volvería a comprarlo. Llegó antes de lo previsto. Funciona perfectamente
58,P6534,U46858,Carlos Rodríguez,8,8,3,1549678435,Está bien para su precio,El servicio al cliente fue atento. La calidad fue impresionante. Podría ser mejor. No cumplió con la descripción. Sin dudas volvería a comprarlo
59,P8065,U82785,María Martínez,0,3,3,1610590435,Está bien para su precio,Funciona perfectamente. No cumplió con la descripción. Llegó antes de lo previsto. Sin dudas volvería a comprarlo. El empaque estaba dañado
60,P3686,U69477,Sofía Torres,7,11,5,1462673635,Superó mis expectativas,Funciona perfectamente. El empaque estaba dañado. Llegó antes de lo previsto. La calidad fue impresionante. Podría ser mejor
61,P3322,U97165,Pedro Torres,7,8,3,1524881635,"Cumple, pero sin destacar",No cumplió con la descripción. Sin dudas volvería a comprarlo. El empaque estaba dañado. La calidad fue impresionante. No lo recomendaría
62,P3294,U43620,Isabel Pérez,6,10,4,1613960035,Muy buen producto,El servicio al cliente fue atento. El empaque estaba dañado. No lo recomendaría. La calidad fue impresionante. Llegó antes de lo previsto
63,P5417,U61158,Isabel Ramírez,9,13,2,1695608035,No fue lo que esperaba,Sin dudas volvería a comprarlo. Superó todas mis expectativas. No lo recomendaría. Podría ser mejor. Funciona perfectamente
64,P2141,U77351,Ana López,6,8,1,1652408035,No lo recomiendo en absoluto,No lo recomendaría. El empaque estaba dañado. Sin dudas volvería a comprarlo. Llegó antes de lo previsto. Superó todas mis expectativas
65,P1182,U73313,Sofía García,4,8,2,1669860835,Podría mejorar,El servicio al cliente fue atento. El empaque estaba dañado. Podría ser mejor. No lo recomendaría. Llegó antes de lo previsto
66,P9780,U98752,Juan Martínez,6,7,2,1704248035,Servicio lento y atención deficiente,Superó todas mis expectativas. La calidad fue impresionante. El empaque estaba dañado. El servicio al cliente fue atento. Funciona perfectamente
67,P2042,U94836,Jorge Ramírez,9,11,4,1439086435,Me gustó bastante,El servicio al cliente fue atento. Podría ser mejor. Superó todas mis expectativas. Sin dudas volvería a comprarlo. No cumplió con la descripción
68,P4378,U14469,Juan González,4,9,5,1715566435,Superó mis expectativas,La calidad fue impresionante. Superó todas mis expectativas. El empaque estaba dañado. Funciona perfectamente. No lo recomendaría
69,P2326,U65002,Isabel Pérez,6,7,3,1563934435,Está bien para su precio,Llegó antes de lo previsto. El empaque estaba dañado. El servicio al cliente fue atento. Funciona perfectamente. No lo recomendaría
70,P8622,U46554,Sofía Pérez,8,12,1,1738030435,Terrible servicio,Podría ser mejor. El empaque estaba dañado. Funciona perfectamente. No cumplió con la descripción. Superó todas mis expectativas
71,P9071,U28721,Sofía Martínez,1,6,4,1452305635,Me gustó bastante,No lo recomendaría. Llegó antes de lo previsto. No cumplió con la descripción. Sin dudas volvería a comprarlo. Superó todas mis expectativas
72,P9874,U16289,Sofía Hernández,6,10,5,1673403235,Superó mis expectativas,No lo recomendaría. Superó todas mis expectativas. Podría ser mejor. Funciona perfectamente. No cumplió con la descripción
73,P7192,U60450,Pedro Sánchez,7,9,4,1596334435,Muy buen producto,Podría ser mejor. La calidad fue impresionante. No lo recomendaría. Llegó antes de lo previsto. Superó todas mis expectativas
74,P1245,U44057,Juan Pérez,2,6,5,1521339235,Superó mis expectativas,La calidad fue impresionante. Superó todas mis expectativas. Funciona perfectamente. Sin dudas volvería a comprarlo. Llegó antes de lo previsto
75,P2197,U68360,Luis Hernández,5,5,2,1614564835,No fue lo que esperaba,El empaque estaba dañado. Podría ser mejor. La calidad fue impresionante. No lo recomendaría. No cumplió con la descripción
76,P2146,U56174,Sofía García,7,9,2,1578881635,Servicio lento y atención deficiente,El empaque estaba dañado. La calidad fue impresionante. Llegó antes de lo previsto. Superó todas mis expectativas. Podría ser mejor
77,P9671,U52807,Lucía Martínez,2,5,2,1459995235,Servicio lento y atención deficiente,El empaque estaba dañado. Sin dudas volvería a comprarlo. El servicio al cliente fue atento. Llegó antes de lo previsto. Superó todas mis expectativas
78,P2035,U29129,Jorge González,10,14,3,1604110435,"Regular, nada especial",El empaque estaba dañado. La calidad fue impresionante. Llegó antes de lo previsto. Sin dudas volvería a comprarlo. No cumplió con la descripción
79,P2572,U50398,Lucía Hernández,0,1,5,1640484835,Superó mis expectativas,Funciona perfectamente. El servicio al cliente fue atento. Llegó antes de lo previsto. Sin dudas volvería a comprarlo. No cumplió con la descripción
80,P9581,U47521,Pedro Sánchez,10,10,5,1503800035,Superó mis expectativas,El servicio al cliente fue atento. El empaque estaba dañado. Funciona perfectamente. Superó todas mis expectativas. Podría ser mejor
81,P5720,U73676,Ana Rodríguez,0,5,3,1496110435,"Cumple, pero sin destacar",Funciona perfectamente. El servicio al cliente fue atento. Sin dudas volvería a comprarlo. Superó todas mis expectativas. La calidad fue impresionante
82,P1432,U94615,Carlos García,5,6,3,1645841635,"Regular, nada especial",No lo recomendaría. Sin dudas volvería a comprarlo. El empaque estaba dañado. Funciona perfectamente. La calidad fue impresionante
83,P3332,U59737,Luis Rodríguez,10,10,1,1720664035,Terrible servicio,No cumplió con la descripción. El empaque estaba dañado. Superó todas mis expectativas. Llegó antes de lo previsto. Funciona perfectamente
84,P7102,U40856,Lucía Ramírez,1,2,1,1743560035,El producto llegó roto,El empaque estaba dañado. Sin dudas volvería a comprarlo. Funciona perfectamente. Llegó antes de lo previsto. Podría ser mejor
85,P5455,U80333,Juan García,8,13,4,1531448035,Muy buen producto,Superó todas mis expectativas. No cumplió con la descripción. Llegó antes de lo previsto. El empaque estaba dañado. Funciona perfectamente
86,P9660,U73264,Sofía Rodríguez,9,14,3,1514513635,"Regular, nada especial",Sin dudas volvería a comprarlo. No lo recomendaría. No cumplió con la descripción. Podría ser mejor. La calidad fue impresionante
87,P9493,U55374,María García,5,6,4,1489889635,Buena relación calidad-precio,El servicio al cliente fue atento. No lo recomendaría. La calidad fue impresionante. Llegó antes de lo previsto. Superó todas mis expectativas
88,P1492,U19681,Juan García,7,7,5,1610072035,Superó mis expectativas,La calidad fue impresionante. Funciona perfectamente. No lo recomendaría. Llegó antes de lo previsto. El servicio al cliente fue atento
89,P3453,U22647,Carlos Sánchez,5,9,5,1574388835,Superó mis expectativas,Sin dudas volvería a comprarlo. El servicio al cliente fue atento. El empaque estaba dañado. Podría ser mejor. La calidad fue impresionante
90,P8176,U40115,Lucía González,4,7,2,1490840035,Podría mejorar,Podría ser mejor. Superó todas mis expectativas. No cumplió con la descripción. Llegó antes de lo previsto. Sin dudas volvería a comprarlo
91,P3722,U89349,Isabel Pérez,5,5,1,1726366435,Muy mala experiencia,El servicio al cliente fue atento. Podría ser mejor. No lo recomendaría. La calidad fue impresionante. Funciona perfectamente
92,P3069,U49074,Pedro Ramírez,7,8,5,1676945635,"Maravilloso, lo volvería a comprar",Funciona perfectamente. Llegó antes de lo previsto. El servicio al cliente fue atento. La calidad fue impresionante. Podría ser mejor
93,P2189,U38165,María González,4,4,5,1552875235,Superó mis expectativas,Funciona perfectamente. El empaque estaba dañado. El servicio al cliente fue atento. Superó todas mis expectativas. Sin dudas volvería a comprarlo
94,P9102,U27145,Luis Martínez,1,3,5,1720836835,"Maravilloso, lo volvería a comprar",No lo recomendaría. Superó todas mis expectativas. Funciona perfectamente. Sin dudas volvería a comprarlo. Podría ser mejor
95,P4475,U78567,Juan Torres,6,11,3,1529288035,Está bien para su precio,La calidad fue impresionante. No cumplió con la descripción. Superó todas mis expectativas. No lo recomendaría. Podría ser mejor
96,P6960,U59352,Lucía Sánchez,3,7,1,1618884835,No lo recomiendo en absoluto,Superó todas mis expectativas. Llegó antes de lo previsto. No cumplió con la descripción. Funciona perfectamente. Sin dudas volvería a comprarlo
97,P6252,U38114,Isabel Pérez,7,10,1,1463624035,Muy mala experiencia,Funciona perfectamente. No cumplió con la descripción. Podría ser mejor. El servicio al cliente fue atento. La calidad fue impresionante
98,P3265,U36400,Isabel García,6,8,3,1465697635,Está bien para su precio,Superó todas mis expectativas. No cumplió con la descripción. Llegó antes de lo previsto. Funciona perfectamente. No lo recomendaría
99,P9498,U31133,Lucía Martínez,0,1,3,1522030435,"Cumple, pero sin destacar",La calidad fue impresionante. El servicio al cliente fue atento. No lo recomendaría. Funciona perfectamente. Podría ser mejor
100,P9472,U42786,María Ramírez,1,4,3,1566440035,"Regular, nada especial",Llegó antes de lo previsto. Sin dudas volvería a comprarlo. Superó todas mis expectativas. El servicio al cliente fue atento. La calidad fue impresionante
101,P3166,U78590,Ana Sánchez,10,10,3,1621649635,"Regular, nada especial",Llegó antes de lo previsto. Sin dudas volvería a comprarlo. La calidad fue impresionante. El empaque estaba dañado. Podría ser mejor
102,P5689,U58037,Luis Hernández,5,9,3,1538100835,Está bien para su precio,Funciona perfectamente. No cumplió con la descripción. Llegó antes de lo previsto. Podría ser mejor. Sin dudas volvería a comprarlo
103,P6562,U31466,Carlos Sánchez,9,14,3,1619144035,Está bien para su precio,Superó todas mis expectativas. Podría ser mejor. No cumplió con la descripción. Funciona perfectamente. El servicio al cliente fue atento
104,P8321,U68358,Pedro Ramírez,3,7,4,1473905635,Muy buen producto,Sin dudas volvería a comprarlo. Superó todas mis expectativas. El servicio al cliente fue atento. Llegó antes de lo previsto. Podría ser mejor
105,P8626,U50807,Lucía García,8,9,2,1535076835,Servicio lento y atención deficiente,No lo recomendaría. Funciona perfectamente. La calidad fue impresionante. Sin dudas volvería a comprarlo. El empaque estaba dañado
106,P8101,U51873,Pedro García,4,5,2,1726280035,Podría mejorar,El empaque estaba dañado. No lo recomendaría. Llegó antes de lo previsto. Sin dudas volvería a comprarlo. Superó todas mis expectativas
107,P1031,U54810,Sofía Martínez,9,10,2,1475979235,Servicio lento y atención deficiente,Podría ser mejor. Llegó antes de lo previsto. El empaque estaba dañado. No cumplió con la descripción. El servicio al cliente fue atento
108,P3401,U10940,Ana García,1,2,5,1685585635,Excelente compra,Llegó antes de lo previsto. Podría ser mejor. Funciona perfectamente. Sin dudas volvería a comprarlo. Superó todas mis expectativas
109,P4866,U92075,Jorge García,9,11,1,1486520035,Terrible servicio,Llegó antes de lo previsto. Sin dudas volvería a comprarlo. Superó todas mis expectativas. Podría ser mejor. No cumplió con la descripción
110,P6309,U88689,Jorge Torres,1,5,4,1500862435,Me gustó bastante,La calidad fue impresionante. Llegó antes de lo previsto. Funciona perfectamente. El servicio al cliente fue atento. El empaque estaba dañado
111,P5736,U27013,Lucía López,10,14,4,1678328035,Buena relación calidad-precio,El servicio al cliente fue atento. Sin dudas volvería a comprarlo. No lo recomendaría. Podría ser mejor. La calidad fue impresionante
112,P2828,U67073,Juan García,0,5,3,1739412835,"Regular, nada especial",La calidad fue impresionante. El servicio al cliente fue atento. No lo recomendaría. Podría ser mejor. Sin dudas volvería a comprarlo
113,P6780,U14519,Jorge Pérez,9,12,5,1594692835,"Maravilloso, lo volvería a comprar",Funciona perfectamente. Sin dudas volvería a comprarlo. Podría ser mejor. El servicio al cliente fue atento. No lo recomendaría
114,P4007,U74582,Pedro Sánchez,3,3,4,1668824035,Buena relación calidad-precio,Funciona perfectamente. No lo recomendaría. El servicio al cliente fue atento. El empaque estaba dañado. Llegó antes de lo previsto
115,P1241,U83670,Lucía Rodríguez,1,1,5,1554776035,"Maravilloso, lo volvería a comprar",El empaque estaba dañado. No cumplió con la descripción. El servicio al cliente fue atento. No lo recomendaría. Superó todas mis expectativas
116,P8116,U93609,Jorge Rodríguez,9,10,2,1462241635,No fue lo que esperaba,Llegó antes de lo previsto. El empaque estaba dañado. Funciona perfectamente. El servicio al cliente fue atento. Sin dudas volvería a comprarlo
117,P7244,U77867,Pedro Ramírez,1,2,3,1704766435,"Regular, nada especial",Llegó antes de lo previsto. Sin dudas volvería a comprarlo. El servicio al cliente fue atento. No lo recomendaría. Funciona perfectamente
118,P4844,U29644,Juan Ramírez,6,8,3,1677118435,"Cumple, pero sin destacar",Funciona perfectamente. El empaque estaba dañado. Podría ser mejor. No lo recomendaría. Superó todas mis expectativas
119,P5795,U91419,Luis Pérez,7,10,4,1569464035,Me gustó bastante,No lo recomendaría. La calidad fue impresionante. Llegó antes de lo previsto. No cumplió con la descripción. El empaque estaba dañado
120,P3313,U16573,Luis Rodríguez,10,11,2,1485828835,Servicio lento y atención deficiente,Funciona perfectamente. Sin dudas volvería a comprarlo. La calidad fue impresionante. El empaque estaba dañado. Superó todas mis expectativas
121,P5280,U27624,Pedro Torres,9,10,4,1678846435,Me gustó bastante,No cumplió con la descripción. La calidad fue impresionante. El empaque estaba dañado. Superó todas mis expectativas. Llegó antes de lo previsto
122,P9559,U51438,Isabel Rodríguez,1,4,2,1633659235,No fue lo que esperaba,No cumplió con la descripción. La calidad fue impresionante. El servicio al cliente fue atento. Sin dudas volvería a comprarlo. Funciona perfectamente
123,P4509,U77375,María López,8,12,5,1659060835,Excelente compra,Superó todas mis expectativas. El servicio al cliente fue atento. Podría ser mejor. No lo recomendaría. Llegó antes de lo previsto
124,P7577,U19970,Carlos Sánchez,0,3,4,1646014435,Muy buen producto,La calidad fue impresionante. Funciona perfectamente. El servicio al cliente fue atento. Sin dudas volvería a comprarlo. Llegó antes de lo previsto
125,P9859,U57746,Juan Sánchez,8,11,4,1647137635,Me gustó bastante,No lo recomendaría. El servicio al cliente fue atento. Funciona perfectamente. Podría ser mejor. La calidad fue impresionante
126,P7404,U53119,Lucía Pérez,7,9,4,1642904035,Buena relación calidad-precio,El empaque estaba dañado. Llegó antes de lo previsto. La calidad fue impresionante. Sin dudas volvería a comprarlo. No lo recomendaría
127,P7530,U22405,Pedro González,10,10,1,1730340835,Muy mala experiencia,Funciona perfectamente. No cumplió con la descripción. El empaque estaba dañado. Sin dudas volvería a comprarlo. La calidad fue impresionante
128,P2495,U20344,Lucía Martínez,5,7,1,1591323235,No lo recomiendo en absoluto,Llegó antes de lo previsto. No lo recomendaría. Funciona perfectamente. El servicio al cliente fue atento. No cumplió con la descripción
129,P1141,U24190,Jorge Rodríguez,10,11,4,1601691235,Buena relación calidad-precio,No lo recomendaría. Funciona perfectamente. Llegó antes de lo previsto. La calidad fue impresionante. Podría ser mejor
130,P1489,U82770,Luis Martínez,5,8,1,1714702435,Muy mala experiencia,La calidad fue impresionante. Sin dudas volvería a comprarlo. El empaque estaba dañado. El servicio al cliente fue atento. No lo recomendaría
131,P4833,U75438,Pedro González,0,3,2,1443406435,Podría mejorar,Sin dudas volvería a comprarlo. No lo recomendaría. El empaque estaba dañado. Superó todas mis expectativas. Llegó antes de lo previsto
132,P4913,U87781,Ana Martínez,0,4,2,1579918435,Podría mejorar,Podría ser mejor. Funciona perfectamente. La calidad fue impresionante. Superó todas mis expectativas. Llegó antes de lo previsto
133,P3356,U62720,María Rodríguez,6,8,4,1731204835,Buena relación calidad-precio,No cumplió con la descripción. No lo recomendaría. Funciona perfectamente. Superó todas mis expectativas. Sin dudas volvería a comprarlo
134,P1329,U49544,Jorge Martínez,5,6,4,1583288035,Me gustó bastante,Superó todas mis expectativas. No lo recomendaría. Sin dudas volvería a comprarlo. La calidad fue impresionante. Llegó antes de lo previsto
135,P2878,U29786,Pedro Rodríguez,1,5,4,1439950435,Me gustó bastante,Superó todas mis expectativas. Llegó antes de lo previsto. La calidad fue impresionante. No lo recomendaría. El servicio al cliente fue atento
136,P4558,U27400,Isabel González,10,13,1,1513736035,No lo recomiendo en absoluto,Sin dudas volvería a comprarlo. Llegó antes de lo previsto. No cumplió con la descripción. El servicio al cliente fue atento. Funciona perfectamente
137,P7184,U96300,Pedro Martínez,10,12,2,1462760035,No fue lo que esperaba,No cumplió con la descripción. No lo recomendaría. Podría ser mejor. El empaque estaba dañado. Superó todas mis expectativas
138,P5123,U42918,Juan López,3,4,5,1467425635,Superó mis expectativas,Superó todas mis expectativas. El empaque estaba dañado. Funciona perfectamente. Llegó antes de lo previsto. No lo recomendaría
139,P5517,U58035,Jorge López,7,8,1,1438654435,Muy mala experiencia,El servicio al cliente fue atento. Llegó antes de lo previsto. No lo recomendaría. El empaque estaba dañado. Superó todas mis expectativas
140,P5218,U84318,Ana González,1,3,1,1656209635,El producto llegó roto,Superó todas mis expectativas. Funciona perfectamente. El servicio al cliente fue atento. El empaque estaba dañado. No lo recomendaría
141,P6752,U34648,Luis Sánchez,5,10,1,1577672035,Muy mala experiencia,El servicio al cliente fue atento. No cumplió con la descripción. Funciona perfectamente. Sin dudas volvería a comprarlo. Superó todas mis expectativas
142,P1799,U42439,Juan Ramírez,5,8,2,1716516835,Servicio lento y atención deficiente,Superó todas mis expectativas. Llegó antes de lo previsto. Podría ser mejor. No cumplió con la descripción. Sin dudas volvería a comprarlo
